,,,,,,,,,,,,,
,,,,,,,,,,,,,
ID,Name,Source,Link ,Sensor involved,Sensor Location,Frequency (Hz),# Records,# Subjects,Duration,Movement,Application,Purpose,Complete?
K027,Human Activity Recognition Dataset,Kaggle,Human Activity Recognition Dataset,Smartphone IMU,Pocket,100,"~10,000",90,ND,"18 different activities(including walking, sitting and some gyms activities)",HAR,Activity recognition,TRUE
K028,Wearable Sensor System for Physical Education,Kaggle,Wearable Sensor System for Physical Education,"IMU, thermometer, heart rate",ND,1,500,1,~8 min,"Rest, walking, running, cycling",HAR,injury risk prevention,TRUE
K029,Sports Injury Traceability Dataset,Kaggle,Sports Injury Traceability Dataset,"IMU, others",various,ND,"2,000",ND,ND,Athletes motion,HAR,injury risk assessment,TRUE
G001,CAPTURE-24: Human activity recognition with activity trackers,GitHub,OxWearables/capture 24: CAPTURE-24: Human activity recognition with activity trackers,"Smartwatch accelerometers, body camera",wrist,100,"5,000",150,24hrs,daily activities,HAR,Activity recognition,TRUE
G002,MHEALTH,GitHub,MHEALTH - UCI Machine Learning Repository,"IMU, camera","chest, lower arms, ankles",50,ND,10,ND,12 different activities,HAR,Activity recognition,TRUE
G003,PAMAP2 Physical Activity Monitoring,GitHub,PAMAP2 Physical Activity Monitoring - UCI Machine Learning Repository,"IMU, heart rate","wrist, chest, dominant ankle",100,ND,9,ND,18 physical activities,Computer science,Activity recognition,TRUE
G004,GOTOV Human Physical Activity and Energy Expenditure Dataset on Older Individuals,GitHub,GOTOV Human Physical Activity and Energy Expenditure Dataset on Older Individuals (dataset),IMU,"ankle, wrist, chest",83-250,"94,000",35 (over 60 y.o.),90 min,16 activities of daily living,HAR,Activity recognition,TRUE
G005,REAL DISP Activity Recognition Dataset,GitHub,REAL DISP Activity Recognition Dataset - UCI Machine Learning Repository,IMU,"Weist, ankle, wrist, chest",ND,"1,419",17,ND,various physical activities,HAR,Activity recognition,TRUE
G006,Daily and Sports Activities,GitHub,Daily and Sports Activities - UCI Machine Learning Repository,IMU,"Torso, arms and legs",25,"9,120",8,95 min each participant(5 min each activity),19 daily and sport activities,HAR,Activity recognition,TRUE
G007,Total Capture: 3D Human Pose Estimation Fusing Video and Inertial Sensors,GitHub,Total Capture: 3D Human Pose Estimation Fusing Video and Inertial Sensors,"Cameras, IMU",different viewpoints,60,"18,921,176",5,ND,"ROM, Walking, Acting and Freestyle",HAR,Activity recognition,TRUE
G008,Activity Recognition using Cell Phone Accelerometers,GitHub,WISDM Lab: Dataset,Phone accelerometers,pocket,20,"1,098,207",35,ND,Daylife activity,HAR,Activity recognition,TRUE
G009,The MobiFall and MobiAct datasets,GitHub,The MobiFall and MobiAct datasets | BMI,IMU,pocket,ND,"3,200",66,ND,"Activities of Daily Living, falls",HAR,Fall recognition,TRUE
G010,Deep Inertial Poser,GitHub,DIP,IMU,"Arms, legs, weist",ND,"330,000",10,ND,various pose,HAR,Pose recognition,TRUE
G011,LARa: Creating a Dataset for Human Activity Recognition in Logistics Using Semantic Attributes,GitHub,LARa: Creating a Dataset for Human Activity Recognition in Logistics Using Semantic Attributes | MDPI,IMU,"Arms, legs, weist",25,440,14,840 min,8 working activity,HAR,Motion capturing for logistics optimization,TRUE
